Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  0.12      0.23     0.05     0.00     0.18    10394  Kernel#send!-1
  0.12      0.05     0.05     0.00     0.00    22625  Kernel#==
  0.11      0.05     0.05     0.00     0.00    20792  Hash#empty?
  0.11      0.05     0.05     0.00     0.00    20994  Kernel#respond_to_without_attributes?
  0.11      0.07     0.05     0.00     0.02    10497  Class#allocate
  0.11      0.05     0.05     0.00     0.00    20438  Float#*
  0.11      0.06     0.05     0.00     0.01    10703  <Class::ActiveRecord::Base>#columns_hash
  0.11      0.05     0.05     0.00     0.00    10854  ActiveRecord::Reflection::MacroReflection#options
  0.11      0.05     0.05     0.00     0.00    10497  <Class::ActiveRecord::Base>#inheritance_column
  0.11      0.05     0.05     0.00     0.00    10002  TZInfo::TimezonePeriod#zone_identifier
  0.11      0.05     0.05     0.00     0.00    20398  Float#to_i
  0.11      0.04     0.04     0.00     0.00    20618  Kernel#equal?
  0.11      0.04     0.04     0.00     0.00    10425  Array#zip
  0.10      0.04     0.04     0.00     0.00    10002  TZInfo::TimezonePeriod#utc_total_offset
  0.10      0.04     0.04     0.00     0.00    20204  Fixnum#abs
  0.10      0.04     0.04     0.00     0.00    10387  <Class::ActiveRecord::Base>#default_timezone
  0.10      0.04     0.04     0.00     0.00    10387  ActiveRecord::Associations::AssociationProxy#loaded
  0.10      0.04     0.04     0.00     0.00    20065  Fixnum#/
  0.10      0.04     0.04     0.00     0.00    10002  ActiveSupport::TimeZone#tzinfo
  0.10      0.04     0.04     0.00     0.00    10002  TZInfo::InfoTimezone#info
  0.07      0.06     0.03     0.00     0.03      257  Array#join
  0.07      0.03     0.03     0.00     0.00    10422  <Module::SQLite3::Driver::Native::API>#sqlite3_data_count
  0.07      0.03     0.03     0.00     0.00    10002  Time#zone
  0.06      0.03     0.03     0.00     0.00    10391  NilClass#to_a
  0.06      0.04     0.03     0.00     0.01       36  Array#select
  0.06      0.02     0.02     0.00     0.00    10520  Hash#initialize
  0.06      0.02     0.02     0.00     0.00    10425  Module#extended
  0.06      0.02     0.02     0.00     0.00    10387  Thread#[]
  0.06      0.02     0.02     0.00     0.00    10387  Array#each-6
  0.06      0.02     0.02     0.00     0.00    10387  NilClass#to_f
  0.06      0.02     0.02     0.00     0.00    10513  Fixnum#to_f
  0.06      0.02     0.02     0.00     0.00    10344  Fixnum#<
  0.06      0.02     0.02     0.00     0.00    10576  Float#/
  0.06      0.02     0.02     0.00     0.00    10397  Array#assoc
  0.06      0.02     0.02     0.00     0.00    10819  Array#last
  0.05      0.02     0.02     0.00     0.00    10397  Time#utc?
  0.05      0.02     0.02     0.00     0.00    10556  String#empty?
  0.05      0.02     0.02     0.00     0.00    10267  Fixnum#%
  0.05      0.02     0.02     0.00     0.00    10322  Fixnum#*
  0.05      0.02     0.02     0.00     0.00    10387  <Class::Thread>#current
  0.05     42.14     0.02     0.00    42.12     4364  Kernel#__send__
  0.03      0.01     0.01     0.00     0.00     5771  Array#shift
  0.03      0.01     0.01     0.00     0.00     5207  Hash#key?
  0.02      5.17     0.01     0.00     5.16      194  Hash#each
  0.02      1.31     0.01     0.00     1.30      173  Array#each-4
  0.02      0.65     0.01     0.00     0.64      511  Category#average_count
  0.02      0.01     0.01     0.00     0.00      130  ActiveRecord::ConnectionAdapters::Quoting#quote
  0.01     42.24     0.01     0.00    42.23       78  Array#each
  0.01      0.01     0.01     0.00     0.00      127  Module#constants
  0.01     17.53     0.00     0.00    17.52       61  <Class::ActiveRecord::Base>#with_scope
  0.01      0.64     0.00     0.00     0.63      511  Category#total_count
  0.01     22.99     0.00     0.00    22.99      987  Kernel#__send__-1
  0.01     14.93     0.00     0.00    14.93      814  Enumerable#inject
